,Sex,Race,CompositeGrades,StandardizedTestQuartile,TimeSpentOnHomeworkInSchool,TimeSpentOnHomeworkOutOfSchool,TimeSpentOnExtracurriculars,ParentsHighestLevelEducation,Socio-economicStatusQuartile,Tutored,FathersWishes,MothersWishes,GradesUndergrad
333,Male,White,2.0,3,1,2,1,3,2,-9,98,98,0
334,Male,White,2.8,4,4,4,3,2,2,-3,4,4,1
335,Female,Black,3.0,2,2,1,0,3,1,-9,5,5,1
336,Male,White,3.8,4,1,2,3,4,4,-9,6,6,1
337,Male,White,3.5,4,7,3,0,4,4,-9,7,7,1
338,Female,White,2.5,9,98,98,98,1,1,-3,4,4,0
339,Male,White,3.3,4,1,2,3,4,4,-9,5,5,0
340,Male,White,3.0,4,4,7,1,6,4,-9,6,6,1
341,Female,White,2.0,1,2,1,0,3,3,-9,5,5,0
342,Female,Black,1.8,1,1,2,2,2,1,-3,4,4,1
343,Female,White,2.8,3,2,2,0,2,2,-9,5,5,0
344,Female,White,2.8,9,99,99,99,3,8,-9,6,6,1
345,Female,White,2.5,2,1,4,4,4,4,-9,5,5,0
346,Female,White,2.5,2,1,3,0,3,2,-9,2,2,0
347,Female,White,2.8,2,2,1,0,3,2,-9,6,6,0
348,Male,White,3.8,4,2,2,3,2,2,-9,5,5,1
349,Male,Black,2.3,2,1,2,1,3,3,-9,6,6,0
350,Male,White,3.0,2,1,1,0,3,3,-9,5,5,0
351,Male,White,2.3,4,3,2,0,3,3,-9,5,5,0
352,Male,White,3.3,3,1,1,0,6,4,-9,5,5,1
353,Female,White,4.0,4,2,4,4,4,3,-9,5,5,1
354,Female,White,2.8,1,1,2,1,1,1,-9,5,5,1
355,Female,White,2.8,9,99,99,99,4,8,-9,5,5,1
356,Female,White,1.3,1,2,1,0,3,2,-9,98,98,0
357,Male,White,3.3,4,2,1,1,4,4,-9,5,5,0
358,Female,White,4.0,4,3,4,1,3,3,-9,5,5,0
359,Female,White,3.0,4,2,3,0,3,3,-3,5,5,1
360,Male,White,3.0,4,2,3,3,5,4,-9,5,5,0
361,Male,White,2.8,4,2,1,0,3,4,-9,6,6,1
362,Male,White,3.5,3,1,1,3,4,3,-9,7,7,1
363,Female,White,1.0,2,0,3,2,3,2,-3,7,3,0
364,Female,White,1.8,1,2,3,4,2,2,-9,4,6,0
365,Female,Black,3.3,9,1,2,2,4,3,-9,6,5,1
366,Male,White,4.0,4,3,2,3,5,4,-9,5,5,1
367,Female,White,2.8,3,5,2,2,3,2,-9,5,5,0
368,Female,White,3.5,9,99,99,99,7,8,-9,6,6,1
369,Female,White,2.3,3,1,2,4,3,3,-9,5,5,0
370,Male,White,2.5,4,1,1,0,4,4,-3,5,5,0
371,Male,White,3.3,3,3,6,3,3,3,-9,5,5,1
372,Male,White,3.3,4,2,3,3,6,4,-9,6,6,1
373,Female,White,4.0,2,7,2,4,2,2,-9,5,5,1
374,Male,White,9.9,9,0,5,2,99,2,-9,99,99,1
375,Female,White,4.0,3,1,2,3,2,1,-9,5,5,0
376,Female,White,3.5,4,2,5,0,3,3,-9,5,5,0
377,Male,White,2.5,1,0,1,0,3,3,-9,3,3,1
378,Female,White,4.0,4,4,5,2,2,2,-9,5,5,0
379,Female,White,2.3,3,4,2,2,2,1,-9,5,5,1
380,Male,White,3.5,3,1,1,4,3,3,-9,4,4,1
381,Female,White,2.5,2,1,3,3,4,4,-9,5,5,0
382,Male,White,3.3,4,1,2,4,6,4,-9,5,5,1
383,Female,Black,2.5,2,2,2,4,3,1,-9,5,5,1
384,Male,White,2.5,3,1,1,0,3,2,-9,5,5,1
385,Female,White,2.8,3,1,1,2,6,4,-9,5,98,0
386,Male,White,2.5,4,3,3,0,3,3,-9,6,6,0
387,Female,White,4.0,4,3,6,4,6,4,-9,5,5,1
388,Female,White,3.3,2,4,3,3,4,3,-9,5,5,1
389,Female,White,2.3,1,7,0,0,1,1,-9,4,2,0
390,Female,White,3.8,4,4,6,3,4,3,-9,5,5,1
391,Male,White,2.8,2,3,4,3,3,2,-9,3,3,0
392,Male,White,3.5,4,2,4,2,6,4,-3,98,98,1
393,Female,Black,3.3,3,0,3,0,3,2,-3,7,5,0
394,Male,White,9.9,3,2,5,0,99,1,-9,99,99,0
395,Male,White,2.5,2,3,3,1,2,1,-9,5,5,0
396,Male,White,2.1,1,2,1,1,4,4,-3,3,5,0
397,Male,White,2.0,2,4,4,3,2,2,-9,5,5,1
398,Male,White,4.0,4,1,0,5,2,1,-9,5,5,1
399,Male,White,1.8,1,1,2,0,3,4,-9,6,6,0
400,Female,White,2.8,3,1,2,0,4,3,-9,5,5,1
401,Female,White,2.8,2,96,96,1,3,2,-9,4,4,0
402,Male,White,4.0,4,3,3,4,6,4,-9,6,6,0
403,Female,Black,2.3,1,1,0,0,3,1,-9,5,5,0
404,Male,White,3.3,3,1,2,3,4,4,-9,5,5,0
405,Female,White,2.8,4,3,2,0,5,3,-9,6,6,1
406,Female,White,2.5,3,1,1,0,3,3,-9,7,7,0
407,Female,White,3.3,2,2,1,0,3,4,-9,6,5,0
408,Female,White,3.8,3,1,2,2,3,3,-9,5,5,1
409,Male,White,2.5,4,2,1,0,3,3,-9,3,3,1
410,Male,White,3.0,3,1,1,0,4,3,-9,5,5,1
411,Male,White,4.0,3,2,5,4,3,3,-9,6,6,0
412,Female,White,3.5,3,1,2,3,3,4,-9,5,5,1
413,Male,White,2.0,2,3,7,2,3,3,-9,5,5,0
